tweetid,userid,user_display_name,user_screen_name,follower_count,following_count,tweet_language,tweet_text,tweet_time,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
852979568105410560,4224729994,Tennessee,TEN_GOP,147767,74664,en,.@JudicialWatch files ethics complaint against Adam Schiff: ‘We have info schiff disclosed classified information.’ hssqs://t.co/exjObDvNk6,2017-04-14 20:19,-123,,,False,,-123,234.0,207.0,3341.0,3057.0,[],[],[18247062],
838140498841763840,4437233895,Crystal Johnson,Crystal1Johnson,56581,31117,en,"Selma Burke never received credit for her portrait of Franklin D, Roosevelt, featured on the U.S. dime. Spread it! This is important! hssqs://t.co/YmxhDhsiq2",2017-03-04 21:34,-123,,,False,,-123,92.0,27.0,2943.0,3050.0,[],[],,
684049529843396608,3312143142,1-800-WOKE-AF,gloed_up,28943,12906,en,white people never cease to amaze me  #blacktolive hssqs://t.co/u1y6lQfJcS,2016-01-04 16:31,-123,,,False,,-123,0.0,69.0,2134.0,3049.0,[blacktolive],[],,
891439855129026560,4272870988,Pamela Moore,Pamela_Moore13,72121,42080,en,"Russia warned Mueller about the Boston Marathon bombers twice, and Mueller did nothing. He's incompetent! hssqs://t.co/MxiyVVe5Ce",2017-07-29 23:26,-123,,,False,,-123,228.0,247.0,3715.0,3046.0,[],[],,
962444602417479681,905514350684844036,Jemisha,JemiSHaaaZzz,16006,12636,en,Have fun annoying white supremacists with this video. hssqs://t.co/EfPLYUM3KC,2018-02-10 21:54,-123,,,False,,-123,124.0,53.0,4188.0,3045.0,[],[],,
885947704144211968,4224729994,Tennessee,TEN_GOP,147767,74664,en,"""Trump’s family has done more for this country than any Democrat elected official.""~@jessebwatters  RT if you agree! hssqs://t.co/4i0ZB1tjc8",2017-07-14 19:42,-123,,,False,,-123,153.0,267.0,3953.0,3039.0,[],[],[56561449],
783805117405462532,4859142199,Traynesha Cole 🌐,TrayneshaCole,25373,12977,en,Alabama law school student: ‘I’ll kill you n***r—don’t speak to me wrong’ Spread this forever. Employers need to know who they're dealing w/ hssqs://t.co/9pgKRauw9Y,2016-10-05 23:04,-123,,,False,,-123,126.0,60.0,1477.0,3037.0,[],[],,
783856174592512000,4272870988,Pamela Moore,Pamela_Moore13,72121,42080,en,Great shirt! hssqs://t.co/iHqdDmhiaK,2016-10-06 02:27,-123,,,False,,-123,201.0,137.0,3401.0,3029.0,[],[],,
876572883249770496,4224729994,Tennessee,TEN_GOP,147767,74664,en,BREAKING: Class action lawsuit filed against DNC for fraud. hssqs://t.co/hnP01gwyvV,2017-06-18 22:50,-123,,,False,,-123,214.0,197.0,3998.0,3025.0,[],[],,
688349029789351936,3312143142,1-800-WOKE-AF,gloed_up,28943,12906,en,racism is everywhere #blacktolive hssqs://t.co/j2mg2gHLGn,2016-01-16 13:16,-123,,,False,,-123,0.0,10.0,2308.0,3024.0,[blacktolive],[],,
